Chemical formula,Band gap,Crystallinity
CrTe,0.02,Polycrystalline
Si2Te3,2,Single crystalline
B,1.27,Single crystalline
SbSi,1.9,Single crystalline
AsBr3,2.6,Polycrystalline
FeSc2,0.777,Polycrystalline
FeSi2,0.88,
CdP2,1.55,
Al2Te3,2.5,
RbBr,7.7,Single crystalline
MnTe2,0.48,Polycrystalline
Mg2Ge,1.804,Single crystalline
Cu2Se,1.23,Single crystalline
RbBr,7.2,Single crystalline
Cs3Sb,1.6,Polycrystalline
CdP4,1,Polycrystalline
Al2O3,7,Single crystalline
PbO2,1.5,
In2S3,2.28,Single crystalline
Cr2O3,1.62,Polycrystalline
GdB6,3.6,Polycrystalline
C,7.02,Single crystalline
Mg2Si,2.27,Single crystalline
SnO2,2.55,Single crystalline
In2Te3,1.026,Polycrystalline
Ce2Se3,0.09375,Single crystalline
Sb2Se3,1.4,Single crystalline
AgCl,5.13,Single crystalline
SiSe2,1.72,Single crystalline
TiO2,3.3,Single crystalline
Mg2Sn,0.23,Single crystalline
In2O3,3.55,Polycrystalline
ZrSe2,2,Single crystalline
Ti2O3,0.02,Single crystalline
RuP2,1,Polycrystalline
HgI2,2.47,Single crystalline
RhSe2,0.6,
SrTe,3.73,Polycrystalline
As2S3,2.64,Single crystalline
SrS,4.8,Single crystalline
Ag2Se,0.05,Polycrystalline
CdBr2,4.47,Polycrystalline
As2S6,2.35,Amorphous
P,0.35,Single crystalline
BaO,4.8,
UO2,2.18,Single crystalline
EuS,1.645,Single crystalline
K3Sb,1.1,Polycrystalline
HgS,0.54,Single crystalline
ZrS2,1.68,Single crystalline
Na3Sb,1,Polycrystalline
Si,1.166,Single crystalline
Zn3P2,1.15,Single crystalline
Rh2S3,0.8,
AgN3,3.9,Polycrystalline
PrTe2,1.02,Single crystalline
MgSe,5.63,Polycrystalline
ZnTe,2.37,Single crystalline
MoO3,2.8,Single crystalline
Cs3As,0.6,
InSb,0.236,Single crystalline
PbO,2.88,Single crystalline
PbO,2.73,Polycrystalline
MnSe,1.8,Single crystalline
Bi2Se3,0.35,Single crystalline
V2O5,1.95,Polycrystalline
SnS,1.08,Polycrystalline
GaAs,1.46,Single crystalline
InP,1.413,Single crystalline
Al2O3,8.56,Single crystalline
GeO2,5.54,Single crystalline
CdCl2,5.8,
As2Se3,1.63,Amorphous
Hg2Br2,2.6,Single crystalline
Cd3P2,0.586,Single crystalline
SnI4,2.38,Single crystalline
ZnO,3.418,Single crystalline
Se,1.56,Single crystalline
BaO,3.8,Single crystalline
Ag2S,1,Single crystalline
CdI2,4.228,Single crystalline
ZnS,3.82,Single crystalline
FeSi2,0.9,Polycrystalline
ZnAs2,0.93,Single crystalline
Sn,0.092,Single crystalline
HfO2,5.55,Polycrystalline
ZnSb,0.606,Single crystalline
Cs3Sb,1.6,Polycrystalline
Bi2O3,2.15,Polycrystalline
ZnAs2,1.3,Single crystalline
Ce2Se3,2,Polycrystalline
BiI3,1.93,Single crystalline
Gd2O3,2.9,Polycrystalline
Zr3O,0.2,Polycrystalline
GeSe2,2.485,Single crystalline
GaAs,1.435,Single crystalline
Cu2Te,1.08,Polycrystalline
Si,1.16,Single crystalline
Ti2O3,0.05,Single crystalline
CaB6,3.3,Single crystalline
GeS2,3.54,Single crystalline
In2Se3,1.2,Polycrystalline
Al2O3,7.3,Polycrystalline
GeI2,1.5,
TbO2,0.5,Polycrystalline
PdS2,0.75,Single crystalline
HfSe2,1.13,Single crystalline
BeO,11.2,Single crystalline
V2O5,2.36,Single crystalline
Se,2.85,Single crystalline
FeSe2,0.5,Polycrystalline
PtSb2,0.11,Single crystalline
