Chemical formula,Band gap,Crystallinity,Color
Nd$_{2}$Se$_{3}$,1.7,Single crystalline,
RbI,6.25,Single crystalline,
GeSe,1.17,Single crystalline,
Pb$_{2}$O$_{3}$,1.67,Polycrystalline,
SbSi,1.9,Polycrystalline,
V$_{2}$O$_{5}$,2.49,Single crystalline,
GaSe,2.169,Single crystalline,
As$_{2}$S$_{3}$,2.43,Single crystalline,
HgO,2.214,Polycrystalline,
BN,8,Single crystalline,White
PrF$_{3}$,5.3,Polycrystalline,
WTe$_{2}$,0.05,Single crystalline,
RhSe$_{3}$,0.7,,
SnSe$_{2}$,1,Single crystalline,
CsCl,7.8,Polycrystalline,
Cu$_{2}$O,2.17,Polycrystalline,
FeAs$_{2}$,0.2,Polycrystalline,
NdB$_{6}$,3.4,Polycrystalline,
OsP$_{2}$,1.2,Polycrystalline,
B,1.42,Single crystalline,
Ga$_{2}$Te$_{3}$,1.08,Single crystalline,
Mg$_{2}$Ge,1.64,Single crystalline,
PdS,0.5,Single crystalline,
CsBr,6.9,,
PtSb$_{2}$,0.11,Single crystalline,
HgI$_{2}$,2.315,Single crystalline,Yellow
RbBr,7.65,Single crystalline,
SnTe,0.3,Single crystalline,
Cd$_{4}$Sb$_{3}$,1.25,Single crystalline,
PbTe,0.29,Single crystalline,
Zn$_{3}$As$_{2}$,0.86,Polycrystalline,
Cd$_{3}$As$_{2}$,0.048,Single crystalline,
SnS$_{2}$,2.6,Polycrystalline,
ZnTe,2.23,Single crystalline,
MnTe$_{9}$,2,Polycrystalline,
EuSe,1.87,Single crystalline,
Er$_{2}$Se$_{3}$,1.66,Polycrystalline,
Ce$_{2}$S$_{3}$,1.12,,
MgCl,,,
PbTe,0.19,Single crystalline,
CsF,10,Polycrystalline,
BiSb$_{0.15}$,0.022,Single crystalline,
SiC,2.86,Single crystalline,
EuSe,1.8,Single crystalline,
InS,1.86,Single crystalline,
ThO$_{2}$,3.3,Polycrystalline,
TiS$_{2}$,1.24,Single crystalline,
PbO,3.18,Polycrystalline,Red
Sb$_{2}$S$_{3}$,1.63,Single crystalline,
PbCl$_{2}$,4.1,Polycrystalline,
EuSe,1.78,Polycrystalline,
RbI,5.83,Single crystalline,
TlSe,0.74,Single crystalline,
AgI,2.82,Polycrystalline,
Bi$_{0.9}$Sb$_{0.1}$,0.014,Single crystalline,
ZnO,3.435,Single crystalline,
Ag$_{2}$S,1.03,Polycrystalline,
CdSe,1.83,Single crystalline,
GaN,3.25,Polycrystalline,
CaTe,4.07,Polycrystalline,White
Eu$_{3}$O$_{4}$,0.6,Polycrystalline,
Tb$_{2}$O$_{3}$,0.86,,
Cu$_{2}$S,1.93,Single crystalline,
AuCl,,,
PtSe$_{2}$,0.1,,
Mg$_{2}$Ge,0.66,Single crystalline,
GaS,2.7,Single crystalline,
SeTe,1.58,Polycrystalline,
CrSi$_{2}$,0.35,Single crystalline,
Cd$_{3}$P$_{2}$,0.589,Single crystalline,Gray
Ag$_{2}$Te,0.064,Polycrystalline,
Te,0.32,Single crystalline,
ZnTe,2.34,Single crystalline,
CdI$_{2}$,3.478,Single crystalline,
CeF$_{3}$,4.85,,
BN,3.8,Polycrystalline,
SnTe,0.33,Polycrystalline,
In$_{2}$Te$_{3}$,1.09$\pm$0.05,Polycrystalline,
Ag$_{2}$Te,0.2,,
As$_{2}$S$_{3}$,2.1,Amorphous,
SnO$_{2}$,3.54,Single crystalline,
As$_{2}$Se$_{3}$,2,Single crystalline,
TaN,2.3$\pm$0.3,Polycrystalline,
TlCl,3.56,Single crystalline,
GaP,2.895,Single crystalline,
I,1.3,Single crystalline,
Cu$_{2}$S,1.8,Polycrystalline,
Fe$_{2}$Te$_{3}$,0.34,Polycrystalline,
ZnTe,2.255,Single crystalline,
LiI,6,Single crystalline,
LaSb,0.8,Polycrystalline,
RuS$_{2}$,1.8,Polycrystalline,
V$_{2}$O$_{5}$,2.34,Single crystalline,
Cd$_{3}$As$_{2}$,0.14,Single crystalline,
PbI$_{2}$,2.32,Single crystalline,Yellow
AlSb,1.62,Single crystalline,
Mg$_{3}$As$_{2}$,1,,
WSe$_{2}$,1.57,Single crystalline,
SnSe$_{2}$,1.03,Single crystalline,
YbAs,1.02,Polycrystalline,
ZnS,3.68,Single crystalline,
K$_{3}$Sb,1,Polycrystalline,
EuO,1.1,Polycrystalline,
As$_{2}$S$_{3}$,2.062,Amorphous,
Te,0.336,Single crystalline,
Bi$_{2}$S$_{3}$,1.3,Polycrystalline,
Na$_{2}$S,2.4,,
As$_{2}$S$_{3}$,2.48,Polycrystalline,
Sb,0.1,Single crystalline,Gray
Hg$_{2}$Cl$_{2}$,3.8,Single crystalline,
As$_{2}$Se$_{3}$,1.81,Amorphous,
Bi$_{2}$Te$_{3}$,0.15,Single crystalline,
Cu$_{2}$Se,1.29,Single crystalline,
Dy$_{2}$O$_{3}$,3.08,Polycrystalline,
TiSe$_{2}$,0.69,Single crystalline,
TlN$_{3}$,3.58,Polycrystalline,
Mg$_{2}$Ge,1.737,Single crystalline,
ThO$_{2}$,3.5,Polycrystalline,White
Er$_{2}$Te$_{3}$,0.9,Polycrystalline,
SnS$_{2}$,2.21,Single crystalline,Yellow
BeSe,3.61,,
PbSe,0.275,Single crystalline,
As$_{2}$S$_{3}$,2.36,Amorphous,
GeTe,0.33,,
GeSn,0.8,,
Mg$_{2}$Si,0.78,Single crystalline,
MoS$_{2}$,1.83,Single crystalline,
SbI$_{3}$,2.49,Single crystalline,Orange
Mg$_{2}$Si,2.27,Single crystalline,
ZnSe,2.81,Single crystalline,Yellow
I,1.6,Single crystalline,
Rb$_{2}$Te,4.5,,
In$_{2}$Te$_{3}$,1.11,Single crystalline,
Ga$_{2}$S$_{3}$,3.59,Single crystalline,
HgO,1.02,,Yellow
GeO$_{2}$,5.63,Amorphous,
PbSe,0.165,Single crystalline,
PdSe$_{2}$,0.4,Single crystalline,
GeS$_{2}$,3.71,Single crystalline,Amber
Bi$_{0.9}$Sb$_{0.1}$,0.024,Single crystalline,
NbO$_{2}$,0.25,,
RuAs$_{2}$,0.8,Polycrystalline,
SmS,0.22,,
CdSc,1.714,Single crystalline,
AlN,5.9,Single crystalline,
CsI,6.4,Polycrystalline,
PbBr$_{2}$,3.31,Polycrystalline,
PbSe,0.176,Single crystalline,
InSe,1.293,Single crystalline,
NaI,5.89,Single crystalline,
CaB$_{6}$,4.4,,
Ga$_{2}$Te$_{3}$,1.13,Single crystalline,
SrO,1.16,,
KCl,8.69,Single crystalline,
CdS,2.582,Single crystalline,
AgCl,3.252,Single crystalline,
AlAs,2.25,Single crystalline,
GeTe,0.77,Amorphous,
SnO$_{2}$,3.9,Polycrystalline,
CdF$_{2}$,6,Single crystalline,
KBr,7.13,Single crystalline,
GeAs,1.45$\pm$0.45,Single crystalline,
GaP,2.235,Single crystalline,
ZnP$_{2}$,1.65,,
GaP,2.223,Single crystalline,
CuCl,3.306,Polycrystalline,
Mg$_{2}$Sn,0.185,Single crystalline,
Mg$_{2}$Ge,0.57,Single crystalline,
Cu$_{2}$O,2.02,Polycrystalline,
Al$_{2}$Te$_{3}$,2.2,,Yellow
CrTe,0.02,Polycrystalline,
Si$_{2}$Te$_{3}$,2,Single crystalline,Red
B,1.27,Single crystalline,
SbSi,1.9,Single crystalline,
AsBr$_{3}$,2.6,Polycrystalline,Orange-Red
FeSc$_{2}$,0.77$\pm$0.17,Polycrystalline,
FeSi$_{2}$,0.88,,
CdP$_{2}$,1.55,,
Al$_{2}$Te$_{3}$,2.5,,Yellow
RbBr,7.7,Single crystalline,
MnTe$_{2}$,0.48,Polycrystalline,
Mg$_{2}$Ge,1.804,Single crystalline,
Cu$_{2}$Se,1.23,Single crystalline,
RbBr,7.2,Single crystalline,
Cs$_{3}$Sb,1.6,Polycrystalline,
CdP$_{4}$,1,Polycrystalline,
Al$_{2}$O$_{3}$,7,Single crystalline,
PbO$_{2}$,1.5,,
In$_{2}$S$_{3}$,2.28,Single crystalline,
Cr$_{2}$O$_{3}$,1.62,Polycrystalline,
GdB$_{6}$,3.6,Polycrystalline,
TbF$_{3}$,,,
C,7.02,Single crystalline,
Mg$_{2}$Si,2.27,Single crystalline,
SnO$_{2}$,2.55,Single crystalline,
In$_{2}$Te$_{3}$,1.026,Polycrystalline,
Ce$_{2}$Se$_{3}$,0.09375,Single crystalline,
Sb$_{2}$Se$_{3}$,1.4,Single crystalline,
AgCl,5.13,Single crystalline,
SiSe$_{2}$,1.72,Single crystalline,
TiO$_{2}$,3.3,Single crystalline,
Mg$_{2}$Sn,0.23,Single crystalline,
In$_{2}$O$_{3}$,3.55,Polycrystalline,
ZrSe$_{2}$,2,Single crystalline,
Ti$_{2}$O$_{3}$,0.02,Single crystalline,
RuP$_{2}$,1,Polycrystalline,
HgI$_{2}$,2.47,Single crystalline,Orange
RhSe$_{2}$,0.6,,
SrTe,3.73,Polycrystalline,
As$_{2}$S$_{3}$,2.64,Single crystalline,
SrS,4.8,Single crystalline,
Ag$_{2}$Se,0.05,Polycrystalline,
CdBr$_{2}$,4.47,Polycrystalline,
As$_{2}$S$_{6}$,2.35,Amorphous,
P,0.35,Single crystalline,
BaO,4.8,,
UO$_{2}$,2.18,Single crystalline,
EuS,1.645,Single crystalline,
K$_{3}$Sb,1.1,Polycrystalline,
HgS,0.54,Single crystalline,
ZrS$_{2}$,1.68,Single crystalline,Violet
Na$_{3}$Sb,1,Polycrystalline,
Si,1.166,Single crystalline,
Zn$_{3}$P$_{2}$,1.15,Single crystalline,
Rh$_{2}$S$_{3}$,0.8,,
AgN$_{3}$,3.9,Polycrystalline,
PrTe$_{2}$,1.02,Single crystalline,
MgSe,5.63,Polycrystalline,
ZnTe,2.37,Single crystalline,Red
MoO$_{3}$,2.8,Single crystalline,
Cs$_{3}$As,0.6,,
InSb,0.236,Single crystalline,
PbO,2.88,Single crystalline,Yellow
PbO,2.73,Polycrystalline,
MnSe,1.8,Single crystalline,Brown-Black
Bi$_{2}$Se$_{3}$,0.35,Single crystalline,
V$_{2}$O$_{5}$,1.95,Polycrystalline,
SnS,1.08,Polycrystalline,
GaAs,1.46,Single crystalline,
InP,1.413,Single crystalline,
Al$_{2}$O$_{3}$,8.56,Single crystalline,
GeO$_{2}$,5.54,Single crystalline,Gray
CdCl$_{2}$,5.8,,
